r,K,H,t_year,A,P2025
0,76.0198561285849,0,45,5.29,12.085827683399826
0,76.0198561285849,0.020833333333333332,45,5.29,5.239681413179518
0,76.0198561285849,0.041666666666666664,45,5.29,2.1416980129283356
0,76.0198561285849,0.0625,45,5.29,0.85332720815865
0,76.0198561285849,0.08333333333333333,45,5.29,0.3364655472990085
0,76.0198561285849,0.10416666666666666,45,5.29,0.13211756329517813
0,76.0198561285849,0.125,45,5.29,0.051792744218631726
0,76.0198561285849,0.14583333333333331,45,5.29,0.020290740618092398
0,76.0198561285849,0.16666666666666666,45,5.29,0.007947258741212103
0,76.0198561285849,0.1875,45,5.29,0.003112389196046711
0,76.0198561285849,0.20833333333333331,45,5.29,0.0012188594818538356
0,76.0198561285849,0.22916666666666666,45,5.29,4.773168872825155e-4
0,76.0198561285849,0.25,45,5.29,1.8692069280733676e-4
0,76.0198561285849,0.2708333333333333,45,5.29,7.319930454778723e-5
0,76.0198561285849,0.29166666666666663,45,5.29,2.866527632246934e-5
0,76.0198561285849,0.3125,45,5.29,1.1225486073374417e-5
0,76.0198561285849,0.3333333333333333,45,5.29,4.395963903443007e-6
0,76.0198561285849,0.35416666666666663,45,5.29,1.7214842598204966e-6
0,76.0198561285849,0.375,45,5.29,6.741429316690568e-7
0,76.0198561285849,0.3958333333333333,45,5.29,2.639981666503269e-7
0,76.0198561285849,0.41666666666666663,45,5.29,1.0338316771105558e-7
0,76.0198561285849,0.4375,45,5.29,4.048543021281759e-8
0,76.0198561285849,0.4583333333333333,45,5.29,1.5854322274907188e-8
0,76.0198561285849,0.47916666666666663,45,5.29,6.2086418107887376e-9
0,76.0198561285849,0.5,45,5.29,2.4313390672465087e-9
0,136.2022422303813,0,45,5.29,21.65377459942469
0,136.2022422303813,0.020833333333333332,45,5.29,9.387762531946636
0,136.2022422303813,0.041666666666666664,45,5.29,3.837208939829935
0,136.2022422303813,0.0625,45,5.29,1.5288779146175815
0,136.2022422303813,0.08333333333333333,45,5.29,0.6028341055773904
0,136.2022422303813,0.10416666666666666,45,5.29,0.23671063423719418
0,136.2022422303813,0.125,45,5.29,0.0927953333917152
0,136.2022422303813,0.14583333333333331,45,5.29,0.03635424360741555
0,136.2022422303813,0.16666666666666666,45,5.29,0.014238838578005019
